id_sentencia,año,tema_principal,tipo_accionante,sujeto_especial_proteccion,edad_aproximada,representacion,tipo_entidad,sector_entidad,derecho_salud,derecho_minimo_vital,debido_proceso,seguridad_social,existe_otro_medio_defensa,medio_es_idoneo,se_alega_perjuicio_irremediable,perjuicio_irremediable_probado,subsidiariedad_cumplida,legitimacion_activa,legitimacion_pasiva,urgencia,afecta_minimo_vital,afecta_salud,caso_involucra_servicio_publico,decision_corte,procedencia_tutela,dias_desde_hecho,hay_inmediatez
t-200A,2018,seguridad social,persona_natural,1,56,directo,pública,pensiones,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,120,1
t-153,2016,seguridad social,persona_natural,1,44,apoderado,privada,otro,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,concede,1,132,1
t-433,2015,seguridad social,persona_natural,1,74,apoderado,pública,otro,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,59,1
t-481,2018,seguridad social,persona_natural,1,82,apoderado,pública,pensiones,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,niega,0,53,1
t-009,2019,seguridad social,persona_natural,1,70,apoderado,privada,pensiones,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,,1
t-556,1996,seguridad social,persona_natural,0,,directo,economia_mixta,otro,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,improcedente,0,,0
t-251,2021,seguridad social,persona_natural,1,68,agente_oficioso,pública,pensiones,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,concede,1,14,1
t-301,2021,seguridad social,persona_natural,1,50,directo,economia_mixta,salud,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,improcedente,0,133,1
t-577,2012,seguridad social,persona_natural,1,54,directo,privada,otro,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,65,1
t-323,2018,seguridad social,persona_natural,1,59,apoderado,pública,pensiones,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,,1
t-093,2013,seguridad social,persona_natural,1,80,directo,pública,pensiones,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,niega,1,,1
t-040,2019,seguridad social,persona_natural,1,46,apoderado,pública,pensiones,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,concede,1,166,1
t-1129,2001,seguridad social,persona_natural,1,,agente_oficioso,privada,salud,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,niega,0,205,1
t-884,2003,seguridad social,persona_natural,1,,directo,pública,administrativo,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,improcedente,0,,0
t-009,2025,seguridad social,persona_natural,1,51,directo,privada,salud,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,concede,1,240,1
t-941,2011,seguridad social,persona_natural,0,67,directo,pública,otro,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,improcedente,0,300,0
